time,volume,close,high,low,open
1584882000000,157.6376033759,6059.35,6138,5966.44,6022.26
1584885600000,81.6214643793,6062.64,6077,5980,6064.8
1584889200000,116.2473186795,6079.82,6100,5942.74,6069.58
1584892800000,106.0597407103,6040.05,6139,6007.42,6077.89
1584896400000,101.3064590069,6019.57,6075.92,5960.03,6040.14
1584900000000,126.2406806923,5992.4,6034.66,5861.35,6019.57
1584903600000,42.9484674882,5913.48,5992.4,5897,5992.4
1584907200000,138.7500062544,5924.01,5940.85,5785,5914.75
1584910800000,128.8352657808,6051.3,6138.6,5920,5926.1
1584914400000,119.4772011045,5875.99,6051.3,5841.2,6051.3
1584918000000,163.7747732564,5821.67,5902.96,5739.91,5875.99
1584921600000,345.1117672351,5905.75,5942,5680,5818.32
1584925200000,111.5893117595,5872.62,5929.93,5843.62,5904.76
1584928800000,108.3047909234,5900.64,5907.29,5828.71,5872.61
1584932400000,152.860959225,5959.14,5993.25,5883.84,5900.64
1584936000000,98.9188699478,5904.53,5993.57,5871.31,5956.12
1584939600000,67.9239546094,5878.02,5927.76,5857.96,5903.05
1584943200000,53.5461133888,5913.85,5936.7,5872,5877.33
1584946800000,87.4717911806,5850,5921.01,5850,5915.06
1584950400000,130.6788746122,5771.5,5889.72,5758.82,5857.79
1584954000000,130.7735233309,5794.05,5830,5736,5770.85
1584957600000,60.3965523553,5863.78,5869.05,5786.79,5794.6
1584961200000,133.074751995,5838.6,5928.38,5813.92,5864
1584964800000,769.9880016414,6322.31,6360.85,5838.6,5838.6
1584968400000,778.9248411226,6289,6589,6143.61,6321.71
1584972000000,157.6968138174,6210.67,6322.52,6194.43,6287.42
1584975600000,138.03284967,6230.44,6258.03,6157.15,6214.16
1584979200000,130.8499641243,6377.9,6378.58,6226.72,6232.09
1584982800000,88.667810155,6278.14,6379,6254.49,6377.9
1584986400000,49.68967797,6259.55,6316.32,6232.09,6277.25
1584990000000,36.9976553294,6269.3,6307.56,6241.86,6262.57
1584993600000,93.5975737009,6392.15,6438.88,6264.5,6269.26
1584997200000,74.4209102,6444.63,6493.71,6339.75,6392.15
1585000800000,88.2300216538,6442.28,6466.55,6354,6444.63
1585004400000,142.82890626,6471.2,6500.01,6408.57,6443.07
1585008000000,288.9349646314,6570.37,6666.48,6466.47,6469.76
1585011600000,157.4602395472,6543.82,6640.35,6509.01,6573.51
1585015200000,120.17290182,6602.7,6612,6523.34,6543.53
1585018800000,116.3446187789,6521.6,6630,6511.76,6602.7
1585022400000,156.18898421,6423.48,6547.11,6376,6521.6
1585026000000,68.2687174908,6475.71,6498.49,6396,6424.56
1585029600000,100.1529452524,6560,6581,6455.06,6475.65
1585033200000,130.222057075,6563.85,6614,6521.46,6560
1585036800000,430.7298547079,6718.36,6828.65,6563.98,6563.98
1585040400000,160.0188810074,6768,6800,6662.41,6718.36
1585044000000,205.645158331,6714.02,6800,6671.48,6768
1585047600000,127.5224872733,6734.35,6754.1,6633,6714.02
1585051200000,139.6869886256,6664.71,6737.16,6544.01,6733.38
1585054800000,193.4677709,6688.32,6764,6633.58,6663.01
1585058400000,125.9996431471,6617.25,6728.39,6597.01,6688.32
1585062000000,275.10222468,6587.27,6642.14,6467,6612.94
1585065600000,73.166335446,6602.02,6629,6513.05,6589.51
1585069200000,81.0942455128,6659.87,6701,6592.88,6602.02
1585072800000,55.9078316045,6656.9,6659.87,6562.17,6659.87
1585076400000,45.4993547342,6696.8,6734,6596.09,6657.16
1585080000000,39.76922395,6730.47,6766.62,6691.97,6700
1585083600000,25.9020879565,6694.93,6749,6620.52,6734.06
1585087200000,63.4420820122,6754.95,6790,6681.98,6699.98
1585090800000,56.6099859686,6748.49,6784.94,6710,6756.27
1585094400000,159.7135745515,6698.59,6749.13,6616.02,6748.6899999999
1585098000000,60.3405456133,6611.19,6718.17,6600,6704.51
1585101600000,165.8346767121,6593.52,6654.49,6537.51,6607.64
1585105200000,71.8752707419,6554.52,6613.92,6527,6593.97
1585108800000,62.9563482846,6621.66,6621.66,6531.91,6559.24
1585112400000,94.0001526997,6700.89,6709.61,6616.68,6621.64
1585116000000,58.890661679,6691.23,6718.99,6654.3,6703.92
1585119600000,47.0738803148,6674.27,6702.72,6626.88,6691.23
1585123200000,184.9912424882,6784.89,6799,6641.31,6672.2
1585126800000,389.324463311,6865.69,6954.17,6766.39,6783.87
1585130400000,407.6643690544,6593.53,6902.7,6536,6865.69
1585134000000,209.8004755884,6516.99,6630,6460,6597.84
1585137600000,112.499036205,6585.57,6597.87,6507,6520.01
1585141200000,280.29120288,6578,6800,6570,6585.57
1585144800000,178.166943498,6628.91,6650,6517.29,6579.61
1585148400000,72.481460101,6625.37,6668.89,6595,6629.04
1585152000000,75.9438303982,6666.42,6705,6604.96,6619.22
1585155600000,21.1572772225,6645.12,6685.36,6636.35,6666.42
1585159200000,35.6259788616,6649.46,6659.86,6576,6645.12
1585162800000,18.9039221037,6617.14,6672.93,6600.81,6649.46
1585166400000,14.91296765,6593.25,6639.79,6578.65,6620.63
